"","1648.0","5136.0","918.0","2824.0","3867.0","860.0","3712.0","2968.0","3525.0","4323.0","3617.0","4360.0","2756.0","89.0","442.0","3556.0","5261.0","2492.0","5062.0","2486.0","4942.0","2267.0","4809.0","3853.0","2288.0"
"11: Star Wars: Episode IV - A New Hope (1977)","","4.5","5.0","4.5","4.0","4.0","","5.0","4.0","5.0","","4.0","","4.0","3.0","4.0","","4.5","4.0","3.5","","","","",""
"12: Finding Nemo (2003)","","5.0","5.0","","4.0","4.0","4.5","4.5","4.0","5.0","","4.0","5.0","4.5","","4.0","","3.5","4.0","2.0","3.5","","","","3.5"
"13: Forrest Gump (1994)","","5.0","4.5","5.0","4.5","4.5","","5.0","4.5","5.0","5.0","4.5","4.5","5.0","3.0","4.0","5.0","3.5","4.5","4.5","4.0","3.5","4.5","3.5","3.5"
"14: American Beauty (1999)","","4.0","","","","","4.5","2.0","3.5","5.0","3.5","5.0","3.5","","4.0","4.0","","3.5","4.5","3.5","4.0","","3.5","",""
"22: Pirates of the Caribbean: The Curse of the Black Pearl (2003)","4.0","5.0","3.0","4.5","4.0","2.5","","5.0","3.0","4.0","4.0","4.5","4.0","","1.0","3.0","1.5","4.0","4.0","2.5","3.5","","5.0","","3.5"
"24: Kill Bill: Vol. 1 (2003)","3.0","5.0","","4.0","3.0","3.0","","0.5","3.5","5.0","4.0","4.0","4.0","5.0","5.0","5.0","0.5","4.0","4.0","4.5","4.0","5.0","","5.0","3.0"
"38: Eternal Sunshine of the Spotless Mind (2004)","","5.0","5.0","","","","","0.5","4.0","5.0","","3.0","","5.0","3.0","","","","4.0","3.0","5.0","1.5","5.0","5.0",""
"63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","","3.0","","","","4.0","","2.5","3.5","2.0","","","","","2.0","","4.0","4.0","","3.5","","","","4.0","5.0"
"77: Memento (2000)","","","5.0","5.0","","4.5","","3.0","4.5","3.5","3.5","4.0","4.0","","4.0","","5.0","4.0","4.0","4.5","5.0","4.0","","4.5","5.0"
"85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","","5.0","","","4.5","","","3.0","4.0","5.0","","4.5","","","5.0","4.0","","5.0","4.0","4.5","3.5","","","4.0","3.0"
"98: Gladiator (2000)","","3.5","","5.0","4.0","4.0","","4.5","3.5","4.0","5.0","3.0","5.0","","4.0","3.5","3.5","5.0","4.0","2.0","4.5","3.0","4.5","3.0","4.0"
"105: Back to the Future (1985)","4.5","5.0","5.0","","","4.5","","5.0","4.0","5.0","","3.5","4.0","5.0","5.0","4.0","5.0","3.5","4.5","4.5","4.5","","","","2.0"
"107: Snatch (2000)","","","","5.0","","3.5","","4.5","4.0","","","","4.0","","","","3.5","","4.0","3.0","2.5","","","","3.0"
"114: Pretty Woman (1990)","","3.5","","","4.0","","4.0","2.5","3.5","5.0","","4.5","3.0","3.5","","3.5","","4.0","","2.5","3.0","","","","2.0"
"120: The Lord of the Rings: The Fellowship of the Ring (2001)","","5.0","","4.0","5.0","","5.0","5.0","4.0","0.5","","3.0","4.0","","5.0","3.5","","3.5","4.5","4.0","4.5","2.5","","5.0","4.0"
"121: The Lord of the Rings: The Two Towers (2002)","","5.0","4.5","4.0","5.0","","5.0","4.5","4.0","1.0","","4.0","5.0","","5.0","3.0","1.0","4.0","4.5","4.0","4.5","","","5.0","4.0"
"122: The Lord of the Rings: The Return of the King (2003)","","5.0","","4.0","5.0","","5.0","5.0","4.0","0.5","","3.0","4.0","","5.0","3.5","","5.0","5.0","4.5","4.5","2.5","","4.0","4.0"
"134: O Brother Where Art Thou? (2000)","","","","","","","","2.0","","","","","","","","4.5","","","4.0","2.0","","2.5","","",""
"141: Donnie Darko (2001)","","3.0","","","","2.5","","2.5","4.5","","","","","4.5","3.0","","3.5","","4.5","2.0","4.0","","","4.0",""
"146: Crouching Tiger Hidden Dragon (Wo hu cang long) (2000)","2.5","4.0","","","","3.5","5.0","5.0","2.5","0.5","3.5","","3.5","","","4.5","","3.5","3.5","4.0","","4.0","4.0","","4.0"
"153: Lost in Translation (2003)","","4.5","","","","","4.0","5.0","3.5","4.0","","","","","3.0","4.0","","4.0","4.5","4.0","","","","4.5","1.5"
"155: The Dark Knight (2008)","5.0","5.0","","5.0","5.0","4.0","","5.0","3.5","5.0","4.0","5.0","4.0","5.0","3.0","","4.5","5.0","4.5","4.5","4.5","3.0","4.5","5.0","3.5"
"161: Ocean's Eleven (2001)","4.0","4.5","","","4.0","3.5","4.0","5.0","4.0","5.0","4.5","5.0","4.5","5.0","","3.5","3.5","3.5","4.5","2.5","4.5","3.0","4.5","3.5","4.0"
"180: Minority Report (2002)","3.0","4.5","","4.5","3.5","","","5.0","2.5","4.0","","","2.5","","5.0","3.5","3.0","4.0","4.0","3.0","5.0","3.0","","3.5","4.0"
"187: Sin City (2005)","","3.0","4.0","","","","","1.5","3.5","","","4.5","2.5","3.0","3.0","","3.0","1.5","4.0","4.0","4.5","","","","4.5"
"194: Amelie (2001)","","5.0","","","","","","1.0","","5.0","","","","5.0","4.0","","4.0","3.0","4.0","5.0","2.5","4.0","4.5","4.5",""
"197: Braveheart (1995)","","4.0","","","","4.0","5.0","4.5","4.0","","","1.0","4.0","","4.0","3.5","","4.5","","1.5","4.5","3.0","4.0","2.5","5.0"
"238: The Godfather (1972)","","5.0","","","3.0","5.0","4.0","4.5","4.5","5.0","5.0","4.0","3.0","5.0","4.0","5.0","","","","3.0","4.0","5.0","5.0","5.0","5.0"
"243: High Fidelity (2000)","","4.0","","","","","","2.0","","","","","","","","","","","3.5","2.5","","","","",""
"268: Batman (1989)","","","","","2.5","","","5.0","2.5","5.0","4.5","4.0","3.0","","3.0","2.5","4.0","2.5","","2.0","4.0","","","","3.5"
"272: Batman Begins (2005)","5.0","5.0","","4.0","4.0","3.5","","5.0","3.5","4.0","3.0","5.0","4.0","4.0","3.0","3.5","4.5","4.0","","4.0","4.5","","","4.0","3.5"
"274: The Silence of the Lambs (1991)","","5.0","","","","4.5","4.5","4.5","4.5","5.0","","3.0","4.0","","4.0","4.0","4.5","1.5","","4.5","4.5","","4.0","4.0","5.0"
"275: Fargo (1996)","","5.0","","","","","","4.5","4.5","5.0","","","","4.5","","5.0","","","","4.0","","5.0","","",""
"278: The Shawshank Redemption (1994)","","5.0","4.5","5.0","3.0","","","1.0","5.0","3.5","5.0","","3.5","4.5","","","4.0","3.0","4.5","0.5","4.5","","5.0","4.0",""
"280: Terminator 2: Judgment Day (1991)","3.5","3.5","4.5","","3.5","","4.5","4.5","3.0","5.0","4.0","","","","4.0","1.5","3.5","2.5","3.5","4.0","3.5","","","3.0","3.0"
"329: Jurassic Park (1993)","4.5","5.0","","","3.5","4.5","5.0","5.0","4.0","5.0","4.5","","3.0","5.0","4.0","3.5","3.5","3.0","4.0","4.0","4.5","","","2.0","3.0"
"393: Kill Bill: Vol. 2 (2004)","3.0","5.0","","4.0","3.0","3.5","","4.5","2.5","5.0","3.5","5.0","4.0","4.0","5.0","4.5","0.5","3.0","3.5","4.5","4.0","5.0","","5.0","3.0"
"414: Batman Forever (1995)","1.5","3.5","","","2.5","1.5","","3.0","3.5","5.0","","4.0","3.0","","3.0","3.0","2.0","1.5","","4.0","4.0","","","",""
"424: Schindler's List (1993)","2.5","4.5","","","","","5.0","5.0","5.0","5.0","4.5","4.5","3.0","","4.0","5.0","2.5","","","3.5","5.0","","","4.5","3.0"
"453: A Beautiful Mind (2001)","4.0","4.5","5.0","4.0","3.0","","4.5","4.5","4.0","5.0","5.0","4.0","3.0","5.0","4.0","3.5","","","4.5","1.0","4.5","3.0","5.0","3.5","4.0"
"462: Erin Brockovich (2000)","","2.5","","","3.5","","","1.5","4.0","2.5","3.0","","4.0","","","4.5","","","","3.0","4.0","3.0","","","3.0"
"550: Fight Club (1999)","","5.0","","3.5","4.5","4.0","","4.5","4.0","5.0","3.0","4.5","3.5","5.0","4.0","3.5","4.5","","5.0","2.0","4.5","5.0","","","5.0"
"557: Spider-Man (2002)","4.0","3.0","","","4.0","3.0","","5.0","3.0","5.0","4.5","3.0","4.0","3.5","3.0","2.5","1.0","3.0","","3.5","","","3.5","","1.5"
"558: Spider-Man 2 (2004)","2.5","2.0","","","4.0","","4.5","4.5","3.0","4.0","4.5","3.0","3.5","","2.0","3.0","1.0","3.5","3.5","3.0","4.5","2.5","4.0","","1.5"
"568: Apollo 13 (1995)","3.5","5.0","","","","4.5","5.0","5.0","4.5","5.0","","4.0","4.0","","4.0","4.0","","4.0","3.5","1.5","5.0","","","","3.0"
"581: Dances with Wolves (1990)","","","","","","2.5","4.0","5.0","4.5","4.0","","2.0","","","","4.5","","4.0","","2.5","","","","","3.0"
"585: Monsters Inc. (2001)","","5.0","5.0","","3.5","4.0","5.0","1.0","3.5","","","3.5","","5.0","","","3.5","4.0","4.0","3.5","","","","","5.0"
"597: Titanic (1997)","4.0","4.0","4.5","","2.0","3.5","3.5","3.0","4.0","5.0","3.5","4.5","4.0","","4.0","4.5","","3.0","3.5","3.5","4.5","3.0","5.0","","4.0"
"601: E.T. the Extra-Terrestrial (1982)","","4.5","","","3.0","","4.5","1.5","4.0","5.0","","","3.5","5.0","","4.5","2.0","3.5","3.5","3.0","4.5","","","","0.5"
"602: Independence Day (a.k.a. ID4) (1996)","4.0","4.5","","","3.0","2.5","3.5","","3.5","5.0","","4.5","4.0","4.0","4.0","3.0","1.5","3.0","3.5","1.5","3.5","","","2.0","3.0"
"603: The Matrix (1999)","4.5","5.0","5.0","5.0","5.0","4.0","5.0","5.0","3.5","3.5","4.0","","4.0","4.5","5.0","3.5","5.0","4.0","4.5","4.5","4.0","3.0","5.0","4.5","4.0"
"604: The Matrix Reloaded (2003)","4.0","4.0","4.5","5.0","2.5","2.5","5.0","5.0","4.0","3.0","4.0","","2.5","3.5","5.0","4.0","3.0","2.0","3.0","2.5","5.0","3.0","4.0","1.5","3.5"
"607: Men in Black (a.k.a. MIB) (1997)","3.0","4.5","5.0","3.0","4.0","3.0","4.5","1.5","3.5","5.0","3.5","4.0","2.5","3.0","2.0","3.0","4.5","4.0","3.5","2.0","4.5","","4.0","4.5","2.5"
"629: The Usual Suspects (1995)","","4.0","5.0","","","4.0","4.5","2.5","4.5","5.0","4.0","","4.0","","","","","","3.5","4.0","5.0","","","5.0","3.0"
"640: Catch Me If You Can (2002)","3.5","4.5","","3.0","4.0","4.0","","5.0","3.5","5.0","","5.0","4.5","","","4.0","4.0","","4.0","3.0","3.5","","","",""
"641: Requiem for a Dream (2000)","","4.5","","","","3.0","","3.0","","5.0","","","","5.0","5.0","","3.5","","","2.5","4.0","4.0","","",""
"664: Twister (1996)","","4.0","","","","2.5","4.5","3.0","4.0","2.5","","","3.0","","","3.5","","4.5","3.5","0.5","","","","",""
"671: Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)","","4.0","5.0","4.0","4.0","3.0","","5.0","3.5","0.5","4.0","4.5","5.0","","4.0","3.0","","3.5","2.0","0.5","5.0","3.0","","",""
"672: Harry Potter and the Chamber of Secrets (2002)","3.0","3.5","5.0","3.0","4.5","3.5","","5.0","3.0","0.5","4.5","4.0","5.0","4.0","3.0","4.0","0.5","3.0","2.0","0.5","2.5","","","",""
"680: Pulp Fiction (1994)","","4.0","","3.0","5.0","5.0","4.5","1.0","4.5","5.0","3.5","4.0","4.5","5.0","5.0","4.5","3.0","3.0","4.5","4.5","3.5","5.0","","4.0","3.0"
"745: The Sixth Sense (1999)","","4.0","","","4.0","4.0","","3.0","4.5","5.0","","3.5","3.0","","4.0","3.5","4.0","4.0","","3.0","","","","3.0","4.5"
"752: V for Vendetta (2006)","","4.0","5.0","4.0","5.0","4.0","4.5","2.0","3.5","3.5","3.0","2.5","3.0","4.5","3.0","","4.5","","","4.5","3.5","2.5","","3.5","3.5"
"786: Almost Famous (2000)","","3.5","","","","","","5.0","4.0","","","1.5","2.5","","","","","","","3.0","5.0","","","",""
"788: Mrs. Doubtfire (1993)","","5.0","","","2.5","4.0","","2.0","3.5","5.0","","3.0","4.0","","","3.5","","2.5","3.5","2.0","","","","1.5","2.0"
"807: Seven (a.k.a. Se7en) (1995)","","5.0","5.0","4.0","","4.5","","1.0","4.5","5.0","","","4.0","","3.0","","5.0","","","4.5","","2.0","5.0","4.0","4.5"
"808: Shrek (2001)","","4.5","5.0","3.0","5.0","4.0","5.0","5.0","3.5","1.5","4.5","3.0","5.0","3.5","3.0","4.5","2.0","3.5","3.5","3.0","3.0","","4.0","4.0","4.0"
"809: Shrek 2 (2004)","","4.0","5.0","4.0","3.5","3.5","5.0","4.5","3.5","","4.5","3.0","4.0","","3.0","4.0","1.5","1.5","","3.0","","","3.5","","3.5"
"812: Aladdin (1992)","","5.0","","2.5","3.0","3.0","","1.5","3.5","3.0","","4.0","3.0","","","3.5","","2.5","3.5","2.0","5.0","","4.0","",""
"854: The Mask (1994)","","2.5","","","3.5","3.0","4.5","2.0","3.0","4.0","","2.0","","","1.0","2.5","2.5","2.5","4.0","2.5","4.5","","5.0","3.5","2.5"
"857: Saving Private Ryan (1998)","","4.0","","","3.5","5.0","4.5","4.5","4.5","3.5","5.0","3.5","5.0","5.0","2.0","4.0","2.0","","","3.5","4.0","5.0","4.0","3.0","3.5"
"862: Toy Story (1995)","4.0","5.0","5.0","","3.0","4.0","3.5","5.0","4.5","4.0","4.0","","","4.5","","4.5","5.0","4.0","3.5","3.5","","3.0","","","3.0"
"954: Mission: Impossible (1996)","4.5","4.0","4.0","","","","4.5","4.5","3.5","3.5","3.5","","","","4.0","2.5","2.0","4.0","4.0","2.5","4.0","","4.0","2.0","4.0"
"955: Mission: Impossible II (2000)","4.0","3.5","4.0","","","","4.0","4.5","3.0","5.0","4.5","","3.5","","4.0","3.0","","3.0","3.5","2.0","4.0","","4.0","2.5","3.5"
"1422: The Departed (2006)","","5.0","","3.5","3.0","4.0","","5.0","4.0","5.0","3.5","5.0","5.0","","4.0","","5.0","","","2.0","5.0","4.5","4.0","",""
"1572: Die Hard: With a Vengeance (1995)","","","","","5.0","","","2.0","3.0","3.0","4.0","","4.0","","4.0","3.5","5.0","5.0","4.0","3.5","5.0","2.0","","","3.5"
"1597: Meet the Parents (2000)","","2.0","","","3.5","3.5","5.0","1.0","3.0","5.0","","4.0","4.0","","","3.0","","","4.0","2.0","","","","","2.0"
"1637: Speed (1994)","","3.0","","","2.0","","4.0","4.5","2.5","3.0","4.0","","3.5","","","3.0","","4.5","3.5","2.0","4.5","","","","3.0"
"1891: Star Wars: Episode V - The Empire Strikes Back (1980)","","4.5","5.0","4.0","4.5","4.0","","5.0","4.0","5.0","","4.0","","4.0","3.0","3.5","1.0","5.0","4.5","4.5","4.5","","","",""
"1892: Star Wars: Episode VI - Return of the Jedi (1983)","","4.5","5.0","4.5","4.0","3.0","","4.5","4.0","5.0","","4.0","","4.0","3.0","3.0","","3.5","4.5","4.0","2.5","","","",""
"1894: Star Wars: Episode II - Attack of the Clones (2002)","3.0","2.5","5.0","4.0","3.5","","","4.5","3.5","5.0","","5.0","","3.0","3.0","4.0","","1.5","3.0","3.0","","","","",""
"1900: Traffic (2000)","","1.0","","","","","","5.0","4.0","3.5","","","3.0","","3.0","3.5","","","","3.0","4.0","","","4.5",""
"2024: The Patriot (2000)","","","","","","4.0","4.5","0.5","3.0","1.0","","","4.5","","3.0","4.0","","2.5","","0.5","5.0","3.0","","","3.0"
"2164: Stargate (1994)","","","","","","","","1.5","3.5","","","","","","5.0","3.0","","4.0","","3.0","","","","3.0","2.5"
"2501: The Bourne Identity (2002)","","4.5","","","3.5","","5.0","2.0","4.0","","4.0","","4.0","4.0","5.0","4.0","0.5","3.5","4.0","4.0","2.5","4.0","","","4.0"
"2502: The Bourne Supremacy (2004)","","4.0","","","4.0","","5.0","5.0","3.5","","3.5","","4.0","","5.0","3.5","0.5","3.5","4.0","3.0","4.0","4.0","","","4.5"
"3049: Ace Ventura: Pet Detective (1994)","","3.0","4.0","","2.5","3.5","5.0","1.0","3.5","5.0","","2.5","4.0","","1.0","","1.0","1.0","","0.5","","","3.0","","1.0"
"4327: Charlie's Angels (2000)","","1.5","","","3.0","","","1.0","2.5","5.0","3.0","5.0","4.0","","","2.0","","1.0","3.5","1.0","4.0","","","","2.5"
"5503: The Fugitive (1993)","","4.0","","","","","4.0","1.0","3.5","3.5","","4.0","3.0","","","","","4.0","","2.5","3.0","","","2.0","4.0"
"7443: Chicken Run (2000)","","1.0","","","","","4.0","2.5","3.0","","","","","","3.0","3.0","3.0","","3.5","2.5","","2.5","","","3.0"
"8358: Cast Away (2000)","","4.0","","","","","","2.5","4.5","","5.0","4.0","4.0","5.0","3.0","3.5","","","","2.5","","4.0","","","4.0"
"8467: Dumb & Dumber (1994)","","1.0","","","1.0","4.0","4.5","2.0","4.0","5.0","","4.0","","","","1.5","0.5","","4.0","0.5","4.0","","","","0.5"
"8587: The Lion King (1994)","4.0","5.0","5.0","3.5","4.0","4.0","","5.0","4.5","4.0","4.5","4.5","4.0","","3.0","5.0","4.0","4.0","","0.5","3.0","3.0","4.5","",""
"9331: Clear and Present Danger (1994)","","","","","","","","2.5","3.5","3.5","","","3.5","","","","","3.0","","0.5","","","","",""
"9741: Unbreakable (2000)","","","","","","","","3.5","3.5","","","","2.5","","","","","","","3.0","3.0","","","",""
"9802: The Rock (1996)","5.0","","","","","3.5","4.0","5.0","2.5","3.0","4.5","","3.5","","2.0","3.0","","3.5","","2.5","5.0","","","","4.0"
"9806: The Incredibles (2004)","3.5","5.0","3.5","","3.0","3.5","4.5","5.0","3.5","4.0","","4.5","4.0","","","3.5","0.5","5.0","3.5","3.0","","","4.5","","3.5"
"10020: Beauty and the Beast (1991)","3.0","5.0","","","4.0","3.5","","2.0","4.0","3.0","","4.0","3.0","","","4.0","","4.0","2.0","2.5","","","4.0","",""
"36657: X-Men (2000)","","4.5","","","4.0","","4.5","5.0","4.0","5.0","","4.0","3.5","","4.0","3.5","","3.0","4.0","3.5","","","","3.0","4.0"
"36658: X2: X-Men United (2003)","3.5","4.0","","","3.5","","4.5","4.5","4.0","5.0","","4.5","3.5","","4.0","3.5","","2.0","","3.0","4.0","","3.5","","4.0"
"36955: True Lies (1994)","","","","","3.0","3.5","4.0","1.5","3.0","2.0","","","4.0","","","","","4.0","","1.5","4.0","","","",""
